[2025-04-07 12:07:59,987] [31   ] [INFO ] [] - Scheduling next upgrade check: Delay
[2025-04-07 12:08:00,007] [31   ] [INFO ] [] - Next autoupgrade timer will fire after: 1.00:00:00
[2025-04-07 12:08:00,007] [31   ] [INFO ] [] - Checking for upgrade
[2025-04-07 12:08:00,010] [31   ] [INFO ] [] - .NET Version - installed 533320, expected: 528040
[2025-04-07 12:08:00,010] [31   ] [INFO ] [] - result: True
[2025-04-07 12:08:00,018] [31   ] [INFO ] [] - Checking for upgrades
[2025-04-07 12:08:00,018] [31   ] [INFO ] [] - Url used to upgrade: https://cdn07.boxcdn.net/BoxEditAutoupdate2.json
[2025-04-07 12:08:00,447] [31   ] [INFO ] [] - ### current version track name: 4.28.1
[2025-04-07 12:08:00,447] [31   ] [INFO ] [] - No custom track name in registry
[2025-04-07 12:08:00,447] [31   ] [WARN ] [] - Track 4.28.1 not found
[2025-04-07 12:08:00,447] [31   ] [INFO ] [] - Track default for upgrade found
[2025-04-07 12:08:00,447] [31   ] [INFO ] [] - RolloutID set to 61
[2025-04-07 12:08:00,447] [31   ] [INFO ] [] - No upgrade available
[2025-04-07 12:08:00,447] [31   ] [INFO ] [] - Check for updates returned None
[2025-04-07 12:08:00,447] [31   ] [INFO ] [] - Scheduling next upgrade check: Reset
[2025-04-07 12:08:00,447] [31   ] [INFO ] [] - Next autoupgrade timer will fire after: 05:56:00
