[2025-05-08 08:14:17,987] [38   ] [INFO ] [] - Scheduling next upgrade check: Delay
[2025-05-08 08:14:18,000] [38   ] [INFO ] [] - Next autoupgrade timer will fire after: 1.00:00:00
[2025-05-08 08:14:18,000] [38   ] [INFO ] [] - Checking for upgrade
[2025-05-08 08:14:18,000] [38   ] [INFO ] [] - .NET Version - installed 533320, expected: 528040
[2025-05-08 08:14:18,000] [38   ] [INFO ] [] - result: True
[2025-05-08 08:14:18,000] [38   ] [INFO ] [] - Checking for upgrades
[2025-05-08 08:14:18,000] [38   ] [INFO ] [] - Url used to upgrade: https://cdn07.boxcdn.net/BoxEditAutoupdate2.json
[2025-05-08 08:14:18,313] [38   ] [INFO ] [] - ### current version track name: 4.28.1
[2025-05-08 08:14:18,313] [38   ] [INFO ] [] - No custom track name in registry
[2025-05-08 08:14:18,313] [38   ] [WARN ] [] - Track 4.28.1 not found
[2025-05-08 08:14:18,319] [38   ] [INFO ] [] - Track default for upgrade found
[2025-05-08 08:14:18,319] [38   ] [INFO ] [] - RolloutID set to 61
[2025-05-08 08:14:18,319] [38   ] [INFO ] [] - Not upgrading because RolloutID is not in range
[2025-05-08 08:14:18,319] [38   ] [INFO ] [] - Check for updates returned None
[2025-05-08 08:14:18,319] [38   ] [INFO ] [] - Scheduling next upgrade check: Reset
[2025-05-08 08:14:18,319] [38   ] [INFO ] [] - Next autoupgrade timer will fire after: 05:38:00
