2025-02-06 07:58:06.693304000, Fcp, UpTime(s), BuffInfo Count, Buff KB, CPU, CPU Sys, CPU Proc, CPU Proc User, CPU Proc Kernel, GPU, GPU Load, MEM, Mem Work, Mem Virt, Managed Heap, IO, ReadOps Rate, ReadBytes Rate, Read Ticks Rate, WriteOps Rate, WriteBytes Rate, Write Ticks Rate, NET, RxBps1, TxBps1, RxBps2, TxBps2, HUG, Handles, USER objects, GDI Objects
2025-02-06 07:58:07.710143000, Fcp, 7, 6, 0, CPU, 02%, 00%, 00%, 00%, GPU, , MEM, 184708, 144312, N/A, IO, , , , , , , NET, , , , , HUG, 969, 34, 34
2025-02-06 07:58:08.712223000, Fcp, 8, 6, 0, CPU, 75%, 09%, 07%, 02%, GPU, , MEM, 220604, 165984, N/A, IO, , , , , , , NET, , , , , HUG, 1006, 34, 34
2025-02-06 07:58:09.726174000, Fcp, 9, 6, 0, CPU, 74%, 12%, 10%, 01%, GPU, , MEM, 257784, 198312, N/A, IO, , , , , , , NET, , , , , HUG, 1039, 36, 35
2025-02-06 07:58:10.741260000, Fcp, 10, 6, 0, CPU, 52%, 11%, 08%, 03%, GPU, , MEM, 276328, 205732, N/A, IO, , , , , , , NET, , , , , HUG, 1160, 45, 36
2025-02-06 07:58:11.747040000, Fcp, 11, 35, 1029, CPU, 30%, 08%, 07%, 01%, GPU, , MEM, 301984, 218948, N/A, IO, , , , , , , NET, , , , , HUG, 1219, 66, 68
2025-02-06 07:58:12.748520000, Fcp, 12, 69, 1043, CPU, 55%, 12%, 08%, 04%, GPU, , MEM, 362604, 260976, N/A, IO, , , , , , , NET, , , , , HUG, 1622, 85, 69
2025-02-06 07:58:13.763143000, Fcp, 13, 77, 1049, CPU, 76%, 07%, 04%, 02%, GPU, , MEM, 373820, 270332, N/A, IO, , , , , , , NET, , , , , HUG, 1663, 88, 69
2025-02-06 07:58:14.763608000, Fcp, 14, 77, 1051, CPU, 27%, 00%, 00%, 00%, GPU, , MEM, 366404, 270624, N/A, IO, , , , , , , NET, , , , , HUG, 1663, 89, 69
2025-02-11 08:04:15.343184000, Fcp, UpTime(s), BuffInfo Count, Buff KB, CPU, CPU Sys, CPU Proc, CPU Proc User, CPU Proc Kernel, GPU, GPU Load, MEM, Mem Work, Mem Virt, Managed Heap, IO, ReadOps Rate, ReadBytes Rate, Read Ticks Rate, WriteOps Rate, WriteBytes Rate, Write Ticks Rate, NET, RxBps1, TxBps1, RxBps2, TxBps2, HUG, Handles, USER objects, GDI Objects
2025-02-11 08:04:16.349740000, Fcp, 8, 6, 0, CPU, 53%, 00%, 00%, 00%, GPU, , MEM, 182276, 141344, N/A, IO, , , , , , , NET, , , , , HUG, 990, 37, 34
2025-02-11 08:04:17.350318000, Fcp, 9, 6, 0, CPU, 67%, 12%, 09%, 02%, GPU, , MEM, 209716, 156616, N/A, IO, , , , , , , NET, , , , , HUG, 1025, 37, 34
2025-02-11 08:04:18.364913000, Fcp, 10, 6, 0, CPU, 48%, 12%, 11%, 00%, GPU, , MEM, 234376, 176076, N/A, IO, , , , , , , NET, , , , , HUG, 1029, 37, 34
