2024-12-17 16:22:07.296792000, Fcp, UpTime(s), BuffInfo Count, Buff KB, CPU, CPU Sys, CPU Proc, CPU Proc User, CPU Proc Kernel, GPU, GPU Load, MEM, Mem Work, Mem Virt, Managed Heap, IO, ReadOps Rate, ReadBytes Rate, Read Ticks Rate, WriteOps Rate, WriteBytes Rate, Write Ticks Rate, NET, RxBps1, TxBps1, RxBps2, TxBps2, HUG, Handles, USER objects, GDI Objects
2024-12-17 16:22:08.302877000, Fcp, 8, 6, 0, CPU, 07%, 00%, 00%, 00%, GPU, , MEM, 180116, 140644, N/A, IO, , , , , , , NET, , , , , HUG, 989, 37, 34
2024-12-17 16:22:09.316869000, Fcp, 9, 6, 0, CPU, 33%, 12%, 09%, 03%, GPU, , MEM, 196528, 150076, N/A, IO, , , , , , , NET, , , , , HUG, 1015, 37, 34
2024-12-17 16:22:10.384825000, Fcp, 10, 6, 0, CPU, 28%, 11%, 10%, 00%, GPU, , MEM, 215004, 161844, N/A, IO, , , , , , , NET, , , , , HUG, 1024, 37, 34
2024-12-17 16:22:11.389370000, Fcp, 11, 6, 0, CPU, 49%, 12%, 10%, 01%, GPU, , MEM, 231348, 175088, N/A, IO, , , , , , , NET, , , , , HUG, 1028, 37, 34
2024-12-17 16:22:12.403784000, Fcp, 12, 6, 0, CPU, 43%, 12%, 10%, 02%, GPU, , MEM, 242356, 184000, N/A, IO, , , , , , , NET, , , , , HUG, 1022, 38, 35
2024-12-17 16:22:13.416730000, Fcp, 13, 6, 0, CPU, 47%, 13%, 10%, 02%, GPU, , MEM, 256420, 196408, N/A, IO, , , , , , , NET, , , , , HUG, 1069, 39, 35
2024-12-17 16:22:15.445606000, Fcp, 15, 6, 0, CPU, 48%, 13%, 08%, 04%, GPU, , MEM, 269572, 203880, N/A, IO, , , , , , , NET, , , , , HUG, 1088, 39, 36
2024-12-17 16:22:17.471691000, Fcp, 17, 42, 1285, CPU, 38%, 13%, 11%, 01%, GPU, , MEM, 284556, 209912, N/A, IO, , , , , , , NET, , , , , HUG, 1235, 51, 38
2024-12-17 16:22:18.474434000, Fcp, 18, 71, 1611, CPU, 50%, 16%, 09%, 06%, GPU, , MEM, 301124, 217960, N/A, IO, , , , , , , NET, , , , , HUG, 1311, 65, 62
2024-12-17 16:22:20.502631000, Fcp, 20, 74, 1299, CPU, 71%, 10%, 06%, 04%, GPU, , MEM, 337052, 247076, N/A, IO, , , , , , , NET, , , , , HUG, 1426, 70, 74
2024-12-17 16:22:21.508052000, Fcp, 21, 74, 1299, CPU, 69%, 12%, 07%, 05%, GPU, , MEM, 361556, 260248, N/A, IO, , , , , , , NET, , , , , HUG, 1637, 87, 68
2024-12-17 16:22:22.517120000, Fcp, 22, 74, 1299, CPU, 40%, 03%, 03%, 00%, GPU, , MEM, 366212, 264464, N/A, IO, , , , , , , NET, , , , , HUG, 1639, 89, 68
2024-12-17 16:22:34.648203000, Fcp, 34, 75, 1299, CPU, 12%, 00%, 00%, 00%, GPU, , MEM, 358204, 255236, N/A, IO, , , , , , , NET, , , , , HUG, 1651, 88, 68
2024-12-17 16:22:35.650529000, Fcp, 35, 75, 1299, CPU, 33%, 03%, 01%, 01%, GPU, , MEM, 358204, 255236, N/A, IO, , , , , , , NET, , , , , HUG, 1651, 88, 68
