[2025-04-01 10:57:33,810] [1    ] [INFO ] [] - Attempt to acquire Single Instance Mutex
[2025-04-01 10:57:36,721] [1    ] [INFO ] [] - ========== Box Local Com Server v4.28.1.1163 ==========
[2025-04-01 10:57:36,735] [1    ] [INFO ] [] - Running as a per-user installation
[2025-04-01 10:57:37,566] [1    ] [INFO ] [] - LocalMachine RegistryKey not set
[2025-04-01 10:57:37,646] [1    ] [INFO ] [] - Starting server...
[2025-04-01 10:57:37,829] [1    ] [INFO ] [] - Server running. Listening to port 17223
[2025-04-01 10:57:37,839] [1    ] [INFO ] [] - Working with debug logging OFF
[2025-04-01 10:58:13,396] [13   ] [INFO ] [] - Accepted Origin
[2025-04-01 10:58:13,418] [13   ] [INFO ] [] - Handling status request
