[2025-03-28 10:43:50,819] [1    ] [INFO ] [] - Attempt to acquire Single Instance Mutex
[2025-03-28 10:43:54,616] [1    ] [INFO ] [] - ========== Box Local Com Server v4.28.1.1163 ==========
[2025-03-28 10:43:54,632] [1    ] [INFO ] [] - Running as a per-user installation
[2025-03-28 10:43:57,078] [1    ] [INFO ] [] - LocalMachine RegistryKey not set
[2025-03-28 10:43:57,243] [1    ] [INFO ] [] - Starting server...
[2025-03-28 10:43:57,657] [1    ] [INFO ] [] - Server running. Listening to port 17223
[2025-03-28 10:43:57,776] [1    ] [INFO ] [] - Working with debug logging OFF
[2025-03-28 10:48:59,539] [3    ] [INFO ] [] - Accepted Origin
[2025-03-28 10:49:00,014] [3    ] [INFO ] [] - Handling status request
