[2025-04-14 07:13:24,102] [1    ] [INFO ] [] - Attempt to acquire Single Instance Mutex
[2025-04-14 07:13:25,729] [1    ] [INFO ] [] - ========== Box Local Com Server v4.28.1.1163 ==========
[2025-04-14 07:13:25,732] [1    ] [INFO ] [] - Running as a per-user installation
[2025-04-14 07:13:27,007] [1    ] [INFO ] [] - LocalMachine RegistryKey not set
[2025-04-14 07:13:27,042] [1    ] [INFO ] [] - Starting server...
[2025-04-14 07:13:27,143] [1    ] [INFO ] [] - Server running. Listening to port 17223
[2025-04-14 07:13:27,162] [1    ] [INFO ] [] - Working with debug logging OFF
[2025-04-14 07:16:11,326] [16   ] [INFO ] [] - Accepted Origin
[2025-04-14 07:16:11,374] [16   ] [INFO ] [] - Handling status request
